raw_data,is_credit,date,amount,comments,bank,source
10-jul-23 74766513191327991281822 amazon http://www.am in 0.00 -299.00,0,10-jul-23,-299.0,   jul                            amazon http   www am in             ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"15-jul-23 74766513196327276954163 amazon http://www.am in 0.00 35,649.74",0,15-jul-23,35649.74,   jul                            amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-jul-23 processing fee 199 : 0% 0.00 199.00,0,19-jul-23,199.0,   jul    processing fee                     ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"19-jul-23 principal amount amortization - <1/3> 0.00 11,726.30",0,19-jul-23,11726.3,   jul    principal amount amortization                       ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"19-jul-23 amazon http://www.am in 0.00 -35,649.74",0,19-jul-23,-35649.74,   jul    amazon http   www am in                ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-jul-23 instant emi offus conversion 0.00 0.00,0,19-jul-23,0.0,   jul    instant emi offus conversion          ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-jul-23 igst-ci@18% 0.00 35.82,0,19-jul-23,35.82,   jul    igst ci               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-jul-23 interest amount amortization - <1/3> 0.00 475.03,0,19-jul-23,475.03,   jul    interest amount amortization                    ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-jul-23 igst-ci@18% 0.00 85.51,0,19-jul-23,85.51,   jul    igst ci               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"30-jul-23 321101178790 upi payment received 0.00 -23,000.00",0,30-jul-23,-23000.0,   jul                 upi payment received                ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
31-jul-23 74987503212282909736558 playstationnetwork london gb 0.00 499.00,0,31-jul-23,499.0,   jul                            playstationnetwork london gb            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"02-aug-23 74987503214000080774646 playstationnetwork london gb 0.00 1,399.00",0,02-aug-23,1399.0,   aug                            playstationnetwork london gb              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"04-aug-23 74119663216216169437142 raz*easy trip planners delhi in 0.00 12,224.00",0,04-aug-23,12224.0,   aug                            raz easy trip planners delhi in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
09-aug-23 74332743222322116364257 indigo gurgaon in 0.00 250.00,0,09-aug-23,250.0,   aug                            indigo gurgaon in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"19-aug-23 74766513231332356801927 amazon.in - grocery http://www.am 0.00 1,139.05",0,19-aug-23,1139.05,   aug                            amazon in   grocery http   www am              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-aug-23 interest amount amortization - <2/3> 0.00 318.78,0,19-aug-23,318.78,   aug    interest amount amortization                    ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"19-aug-23 principal amount amortization - <2/3> 0.00 11,882.55",0,19-aug-23,11882.55,   aug    principal amount amortization                       ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
20-aug-23 74766513232333405133022 amazon.in-bill payment 0.00 288.00,0,20-aug-23,288.0,   aug                            amazon in bill payment            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
20-aug-23 igst-ci@18% 0.00 57.38,0,20-aug-23,57.38,   aug    igst ci               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"20-aug-23 323262699232 upi payment received 0.00 -15,238.05",0,20-aug-23,-15238.05,   aug                 upi payment received                ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
26-aug-23 74766513238333752699611 amazon http://www.am in 0.00 575.00,0,26-aug-23,575.0,   aug                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
27-aug-23 74766513239334821596381 amazon http://www.am in 0.00 408.00,0,27-aug-23,408.0,   aug                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"27-aug-23 74766513239334818314301 amazon http://www.am in 0.00 3,595.00",0,27-aug-23,3595.0,   aug                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
29-aug-23 74766513241334938932939 amazon http://www.am in 0.00 704.00,0,29-aug-23,704.0,   aug                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"31-aug-23 74987503243000621743725 playstationnetwork london gb 0.00 4,999.00",0,31-aug-23,4999.0,   aug                            playstationnetwork london gb              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"07-sep-23 74332743251325082644887 swiggy bangalore in 0.00 2,539.00",0,07-sep-23,2539.0,   sep                            swiggy bangalore in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
10-sep-23 74766513253336656500223 amazon http://www.am in 0.00 -408.00,0,10-sep-23,-408.0,   sep                            amazon http   www am in             ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
16-sep-23 74766513259336008210491 ind*amazon http://www.am in 0.00 550.00,0,16-sep-23,550.0,   sep                            ind amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-sep-23 interest amount amortization - <3/3> 0.00 160.45,0,19-sep-23,160.45,   sep    interest amount amortization                    ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
19-sep-23 igst-ci@18% 0.00 28.88,0,19-sep-23,28.88,   sep    igst ci               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"19-sep-23 principal amount amortization - <3/3> 0.00 12,040.89",0,19-sep-23,12040.89,   sep    principal amount amortization                       ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"19-sep-23 326252022152 upi payment received 0.00 -30,000.00",0,19-sep-23,-30000.0,   sep                 upi payment received                ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
24-sep-23 74766513267338474932517 ind*amazon.in - grocer 0.00 514.00,0,24-sep-23,514.0,   sep                            ind amazon in   grocer            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
